Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3
Tracks 1 to 3
320	39.94365	89.65651	 	 	 	 	 	 	 
321	40.073994	89.70383	 	 	 	 	 	 	 
322	40.521763	88.844345	 	 	 	 	 	 	 
323	41.387794	86.4031	 	 	 	 	 	 	 
324	42.70159	84.16494	 	 	 	 	 	 	 
325	47.903755	83.79433	 	 	 	 	 	 	 
326	48.490627	81.40024	 	 	 	 	 	 	 
327	50.701664	79.40973	 	 	 	 	 	 	 
328	52.218033	76.768394	 	 	 	 	 	 	 
329	54.97235	74.32546	 	 	 	 	 	 	 
330	58.115406	72.57617	 	 	 	 	 	 	 
331	61.307865	69.29542	 	 	 	 	 	 	 
332	64.14448	64.362656	 	 	 	 	 	 	 
333	66.62005	56.968037	 	 	 	 	 	 	 
334	69.89107	50.169098	 	 	 	 	 	 	 
335	73.28272	45.19282	 	 	 	 	 	 	 
336	77.15324	43.910572	 	 	 	 	 	 	 
337	79.818344	43.410686	 	 	 	 	 	 	 
338	81.448586	42.87683	 	 	 	 	 	 	 
339	82.82232	43.179623	 	 	 	 	 	 	 
340	84.052315	43.867218	 	 	 	 	 	 	 
341	84.60069	46.521873	 	 	 	 	 	 	 
342	83.81144	48.797318	 	 	 	 	 	 	 
343	83.03477	50.60272	 	 	 	 	 	 	 
344	81.87589	51.53469	 	 	 	 	 	 	 
345	80.904755	52.73732	 	 	 	 	 	 	 
346	80.40697	51.870712	 	 	 	 	 	 	 
347	80.48802	51.44935	 	 	 	 	 	 	 
348	80.77306	51.224907	 	 	 	 	 	 	 
349	80.92654	51.345604	 	 	 	 	 	 	 
350	81.09527	51.014866	 	 	 	 	 	 	 
351	81.14625	50.853416	 	 	 	 	 	 	 
352	81.21529	51.457176	 	 	 	 	 	 	 
353	82.05956	55.13172	 	 	 	 	 	 	 
354	83.76075	61.696804	 	 	 	 	 	 	 
355	87.80383	63.809914	 	 	 	 	 	 	 
356	91.86685	67.674385	 	 	 	 	 	 	 
357	97.074425	73.41042	 	 	 	 	 	 	 
358	100.193535	80.707245	 	 	 	 	 	 	 
359	107.30867	90.41599	 	 	 	 	 	 	 
360	115.297935	99.39155	 	 	 	 	 	 	 
361	126.03905	111.01309	 	 	 	 	 	 	 
362	136.40843	123.38241	 	 	 	 	 	 	 
363	147.01349	136.76756	 	 	 	 	 	 	 
364	157.4332	151.98141	 	 	 	 	 	 	 
365	170.29428	167.83438	 	 	 	 	 	 	 
366	184.18773	183.35388	 	 	 	 	 	 	 
367	198.85406	194.64607	 	 	 	 	 	 	 
368	215.01453	206.99817	 	 	 	 	 	 	 
369	231.83612	218.23181	 	 	 	 	 	 	 
370	253.75781	232.85397	 	 	 	 	 	 	 
371	271.93756	244.14223	 	 	 	 	 	 	 
372	289.96478	253.19345	 	 	 	 	 	 	 
373	305.8966	259.31735	 	 	 	 	 	 	 
374	322.7802	267.0111	 	 	 	 	 	 	 
375	337.52554	273.64444	 	 	 	 	 	 	 
376	352.4144	279.0816	 	 	 	 	 	 	 
377	367.66693	283.7745	 	 	 	 	 	 	 
378	384.01648	290.07538	 	 	 	 	 	 	 
379	400.92053	296.17273	 	 	 	 	 	 	 
380	417.36484	300.49365	 	 	 	 	 	 	 
381	434.25128	302.10587	 	 	 	 	 	 	 
382	450.08163	303.985	 	 	 	 	 	 	 
383	467.48392	305.4709	 	 	 	 	 	 	 
384	482.8945	305.81067	 	 	 	 	 	 	 
385	497.48367	305.08847	 	 	 	 	 	 	 
386	512.8771	303.48743	 	 	 	 	 	 	 
387	526.1863	302.92084	 	 	 	 	 	 	 
388	536.61914	302.02206	 	 	 	 	 	 	 
389	543.02655	299.9314	 	 	 	 	 	 	 
390	543.63226	297.4258	 	 	 	 	 	 	 
391	544.7042	295.9805	 	 	 	 	 	 	 
392	545.56824	296.62854	 	 	 	 	 	 	 
393	547.1868	297.87976	 	 	 	 	 	 	 
394	549.67847	297.63834	 	 	 	 	 	 	 
395	552.2403	296.19336	 	 	 	 	 	 	 
396	555.264	293.45593	 	 	 	 	 	 	 
397	555.5298	292.64853	 	 	 	 	 	 	 
398	555.86835	292.30255	 	 	 	 	 	 	 
399	557.012	291.99612	 	 	 	 	 	 	 
400	558.186	292.04697	 	 	 	 	 	 	 
401	559.86584	291.8201	 	 	 	 	 	 	 
402	559.7619	291.78717	 	 	 	 	 	 	 
403	560.2158	291.56937	 	 	 	 	 	 	 
404	559.92236	290.76	 	 	 	 	 	 	 
405	560.4451	289.6641	 	 	 	 	 	 	 
406	562.1811	288.99472	 	 	 	 	 	 	 
407	562.70544	288.4397	 	 	 	 	 	 	 
408	562.7094	288.26688	 	 	 	 	 	 	 
409	564.6158	287.3148	 	 	 	 	 	 	 
410	573.153	280.43265	 	 	 	 	 	 	 
411	 	 	 	 	 	 	 	 	 
412	 	 	 	 	 	 	 	 	 
