Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4
Tracks 1 to 4
361	 	 	 	402.12018	55.80546	 	 	 	 	 	 	 
362	 	 	 	401.26462	56.31318	 	 	 	 	 	 	 
363	 	 	 	398.9285	58.13103	 	 	 	 	 	 	 
364	 	 	 	396.7124	59.54633	 	 	 	 	 	 	 
365	 	 	 	393.67145	60.58123	 	 	 	 	 	 	 
366	 	 	 	390.82007	61.662907	 	 	 	 	 	 	 
367	 	 	 	387.63196	62.0042	 	 	 	 	 	 	 
368	 	 	 	382.71024	61.20901	 	 	 	 	 	 	 
369	 	 	 	377.80325	60.679287	 	 	 	 	 	 	 
370	 	 	 	372.30338	61.142773	 	 	 	 	 	 	 
371	 	 	 	363.6901	61.39521	 	 	 	 	 	 	 
372	 	 	 	356.8687	60.75761	 	 	 	 	 	 	 
373	 	 	 	349.02673	61.859688	 	 	 	 	 	 	 
374	 	 	 	339.64252	64.45707	 	 	 	 	 	 	 
375	 	 	 	330.81732	67.91025	 	 	 	 	 	 	 
376	 	 	 	321.04663	70.65887	 	 	 	 	 	 	 
377	 	 	 	309.77457	73.42693	 	 	 	 	 	 	 
378	 	 	 	295.51282	77.34621	 	 	 	 	 	 	 
379	 	 	 	282.13654	82.02066	 	 	 	 	 	 	 
380	 	 	 	269.13934	87.63034	 	 	 	 	 	 	 
381	 	 	 	256.78473	93.398605	 	 	 	 	 	 	 
382	 	 	 	244.1604	98.15571	 	 	 	 	 	 	 
383	 	 	 	230.33165	105.45231	 	 	 	 	 	 	 
384	 	 	 	216.47665	114.0089	 	 	 	 	 	 	 
385	 	 	 	204.55907	122.74265	 	 	 	 	 	 	 
386	 	 	 	197.31592	130.17819	 	 	 	 	 	 	 
387	 	 	 	192.92778	134.1764	 	 	 	 	 	 	 
388	 	 	 	190.4211	135.98073	 	 	 	 	 	 	 
389	 	 	 	191.56573	133.9644	 	 	 	 	 	 	 
390	 	 	 	194.41014	132.0671	 	 	 	 	 	 	 
391	 	 	 	196.65538	130.50836	 	 	 	 	 	 	 
392	 	 	 	197.96007	128.64684	 	 	 	 	 	 	 
393	 	 	 	199.69852	127.326195	 	 	 	 	 	 	 
394	 	 	 	200.63753	126.02381	 	 	 	 	 	 	 
395	 	 	 	200.01755	124.80731	 	 	 	 	 	 	 
396	 	 	 	198.66406	124.273766	 	 	 	 	 	 	 
397	 	 	 	195.8411	124.23707	 	 	 	 	 	 	 
398	 	 	 	192.98312	124.16117	 	 	 	 	 	 	 
399	 	 	 	191.16904	124.19701	 	 	 	 	 	 	 
400	 	 	 	189.97964	124.38556	 	 	 	 	 	 	 
401	 	 	 	189.2611	124.25515	 	 	 	 	 	 	 
402	 	 	 	190.98564	124.611374	 	 	 	 	 	 	 
403	 	 	 	193.7651	124.8752	 	 	 	 	 	 	 
404	 	 	 	197.66075	124.71517	 	 	 	 	 	 	 
405	 	 	 	201.68088	124.70931	 	 	 	 	 	 	 
406	 	 	 	204.00185	124.6829	 	 	 	 	 	 	 
407	 	 	 	204.72237	125.38861	 	 	 	 	 	 	 
408	 	 	 	204.31274	126.36738	 	 	 	 	 	 	 
409	 	 	 	205.29892	126.527954	 	 	 	 	 	 	 
410	 	 	 	204.94783	128.01309	 	 	 	 	 	 	 
411	 	 	 	205.58218	129.0599	 	 	 	 	 	 	 
412	 	 	 	205.44514	129.62877	 	 	 	 	 	 	 
413	 	 	 	205.04468	130.25195	 	 	 	 	 	 	 
414	 	 	 	205.30154	130.97455	 	 	 	 	 	 	 
415	 	 	 	205.1872	131.67235	 	 	 	 	 	 	 
416	 	 	 	204.29164	133.82161	 	 	 	 	 	 	 
417	 	 	 	204.24893	135.36276	 	 	 	 	 	 	 
418	 	 	 	203.7939	137.86107	 	 	 	 	 	 	 
419	 	 	 	200.49846	144.31497	 	 	 	 	 	 	 
420	 	 	 	198.49318	151.7422	 	 	 	 	 	 	 
421	 	 	 	196.93251	159.06868	 	 	 	 	 	 	 
422	 	 	 	192.69511	168.6546	 	 	 	 	 	 	 
423	 	 	 	188.20613	178.35939	 	 	 	 	 	 	 
424	 	 	 	185.4082	187.726	 	 	 	 	 	 	 
425	 	 	 	183.62901	196.98259	 	 	 	 	 	 	 
426	 	 	 	181.89525	206.3388	 	 	 	 	 	 	 
427	 	 	 	179.21428	216.07114	 	 	 	 	 	 	 
428	 	 	 	174.08136	227.53694	 	 	 	 	 	 	 
429	 	 	 	168.22118	240.36609	 	 	 	 	 	 	 
430	 	 	 	164.65637	252.58815	 	 	 	 	 	 	 
